date,open,high,low,close,volume,empty
2025-01-20T00:00:00+0530,60,63,60,63,1540000,0
2025-01-21T00:00:00+0530,66.15,66.15,66.15,66.15,80000,0
2025-01-22T00:00:00+0530,69.45,69.45,69.45,69.45,186000,0
2025-01-23T00:00:00+0530,72.9,72.9,66,72.9,1806000,0
2025-01-24T00:00:00+0530,69.25,72,69.25,69.25,490000,0
2025-01-27T00:00:00+0530,65.8,65.8,65.8,65.8,26000,0
2025-01-28T00:00:00+0530,62.55,62.55,62.55,62.55,20000,0
2025-01-29T00:00:00+0530,59.45,62.5,59.45,60,404000,0
2025-01-30T00:00:00+0530,57,60.75,57,59.75,296000,0
2025-01-31T00:00:00+0530,59.1,59.1,56.8,58.75,94000,0
2025-02-01T00:00:00+0530,60,63,58,60.05,144000,0
2025-02-03T00:00:00+0530,59.6,59.6,56.05,58.1,100000,0
2025-02-04T00:00:00+0530,58.75,59.45,56.75,58.85,160000,0
2025-02-05T00:00:00+0530,58.95,59.75,57.9,58,70000,0
2025-02-06T00:00:00+0530,57.75,57.75,57.05,57.15,54000,0
2025-02-07T00:00:00+0530,56.6,58.1,56.25,57.2,62000,0
2025-02-10T00:00:00+0530,56.55,57.7,56,56.4,52000,0
2025-02-11T00:00:00+0530,56.35,56.35,53.5,53.55,86000,0
2025-02-12T00:00:00+0530,53.5,53.5,52.6,53.2,50000,0
2025-02-13T00:00:00+0530,54.55,55.5,52,52.9,68000,0
2025-02-14T00:00:00+0530,52.05,52.05,51.05,51.8,78000,0
2025-02-17T00:00:00+0530,51,51.15,48.1,49.35,160000,0
2025-02-18T00:00:00+0530,48.55,49.6,46.25,47.2,104000,0
2025-02-19T00:00:00+0530,46.55,48,46.5,47.6,50000,0
2025-02-20T00:00:00+0530,47.95,50,47.95,49.5,120000,0
2025-02-21T00:00:00+0530,49.05,49.4,48.3,48.3,86000,0
2025-02-24T00:00:00+0530,47.05,50.4,47,48.6,24000,0
2025-02-25T00:00:00+0530,49,49,48,48.2,38000,0
2025-02-27T00:00:00+0530,47.65,47.9,47.1,47.9,16000,0
2025-02-28T00:00:00+0530,48,48,46.1,46.45,26000,0
2025-03-03T00:00:00+0530,46.45,51,46.45,49.5,84000,0
2025-03-04T00:00:00+0530,49.5,53.7,48.95,49.25,164000,0
2025-03-05T00:00:00+0530,49.35,49.35,48,48.15,78000,0
2025-03-06T00:00:00+0530,48.95,48.95,46.7,47.25,150000,0
2025-03-07T00:00:00+0530,47,47.95,45,47.4,68000,0
2025-03-10T00:00:00+0530,46.75,49.3,45.65,45.8,112000,0
2025-03-11T00:00:00+0530,45.5,47,45.4,46.5,72000,0
2025-03-12T00:00:00+0530,47,47.4,46.3,46.9,32000,0
2025-03-13T00:00:00+0530,46.9,47,46.05,46.2,42000,0
2025-03-17T00:00:00+0530,46.55,46.9,45.6,45.8,16000,0
2025-03-18T00:00:00+0530,45.7,46,44.1,44.4,56000,0
2025-03-19T00:00:00+0530,44.25,46.1,44.25,45.4,42000,0
2025-03-20T00:00:00+0530,45.9,46.8,44.5,44.8,88000,0
