date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,14.87,15.45,14.57,14.69,0,0
2023-01-03T00:00:00+0530,14.69,14.99,14.31,14.39,0,0
2023-01-04T00:00:00+0530,14.39,15.68,14.33,15.2,0,0
2023-01-05T00:00:00+0530,15.2,15.6,14.81,14.98,0,0
2023-01-06T00:00:00+0530,14.98,15.44,14.62,15.03,0,0
2023-01-09T00:00:00+0530,15.03,15.38,14.53,14.65,0,0
2023-01-10T00:00:00+0530,14.65,15.94,14.56,15.51,0,0
2023-01-11T00:00:00+0530,15.51,16.23,15.12,15.44,0,0
2023-01-12T00:00:00+0530,15.44,16.04,14.42,15.28,0,0
2023-01-13T00:00:00+0530,15.28,15.6,14.4,14.46,0,0
2023-01-16T00:00:00+0530,14.46,15.36,14.46,15.02,0,0
2023-01-17T00:00:00+0530,15.02,15.31,13.84,14.59,0,0
2023-01-18T00:00:00+0530,14.59,14.75,12.47,14.37,0,0
2023-01-19T00:00:00+0530,14.37,14.83,13.89,13.96,0,0
2023-01-20T00:00:00+0530,13.96,14.19,11.64,13.79,0,0
2023-01-23T00:00:00+0530,13.79,14.26,13.48,13.62,0,0
2023-01-24T00:00:00+0530,13.62,13.81,13.3,13.66,0,0
2023-01-25T00:00:00+0530,13.66,15.42,13.52,14.66,0,0
2023-01-27T00:00:00+0530,14.66,18.01,14.58,17.32,0,0
2023-01-30T00:00:00+0530,17.32,19.39,17.29,17.71,0,0
2023-01-31T00:00:00+0530,17.71,18.37,16.57,16.88,0,0
2023-02-01T00:00:00+0530,16.88,18.54,14.85,16.78,0,0
2023-02-02T00:00:00+0530,16.78,17.77,15.51,15.73,0,0
2023-02-03T00:00:00+0530,15.73,15.76,14.27,14.4,0,0
2023-02-06T00:00:00+0530,14.4,15.21,14.19,14.69,0,0
2023-02-07T00:00:00+0530,14.69,14.88,13.67,14.13,0,0
2023-02-08T00:00:00+0530,14.13,14.25,13.54,13.6,0,0
2023-02-09T00:00:00+0530,13.6,13.82,12.06,13.04,0,0
2023-02-10T00:00:00+0530,13.04,13.28,12.21,12.75,0,0
2023-02-13T00:00:00+0530,12.75,14.1,11.83,13.68,0,0
2023-02-14T00:00:00+0530,13.68,13.68,12.45,13.45,0,0
2023-02-15T00:00:00+0530,13.45,13.45,11.28,12.86,0,0
2023-02-16T00:00:00+0530,12.86,13.16,10.17,12.89,0,0
2023-02-17T00:00:00+0530,12.89,13.52,10.8,13.09,0,0
2023-02-20T00:00:00+0530,13.09,13.71,10.92,13.38,0,0
2023-02-21T00:00:00+0530,13.38,14.3,13.38,14.01,0,0
2023-02-22T00:00:00+0530,14.01,15.92,12.38,15.59,0,0
2023-02-23T00:00:00+0530,15.59,16.01,14.52,15.08,0,0
2023-02-24T00:00:00+0530,15.08,15.14,14.01,14.19,0,0
2023-02-27T00:00:00+0530,14.19,15.1,13.75,13.88,0,0
2023-02-28T00:00:00+0530,13.88,14.57,13.5,14.02,0,0
2023-03-01T00:00:00+0530,14.02,14.02,12.28,13,0,0
2023-03-02T00:00:00+0530,13,13.55,11.1,12.97,0,0
2023-03-03T00:00:00+0530,12.97,12.97,11.98,12.18,0,0
2023-03-06T00:00:00+0530,12.18,12.47,11.84,12.27,0,0
2023-03-08T00:00:00+0530,12.27,12.85,11.9,12.45,0,0
2023-03-09T00:00:00+0530,12.45,12.84,11.78,12.73,0,0
2023-03-10T00:00:00+0530,12.73,13.82,12.73,13.41,0,0
2023-03-13T00:00:00+0530,13.41,16.43,13.41,16.22,0,0
2023-03-14T00:00:00+0530,16.22,16.64,15,16.22,0,0
2023-03-15T00:00:00+0530,16.22,16.51,14.52,16.3,0,0
2023-03-16T00:00:00+0530,16.3,17.36,13.95,16.22,0,0
2023-03-17T00:00:00+0530,16.22,16.22,14.6,14.77,0,0
2023-03-20T00:00:00+0530,14.77,17.22,14.52,16.01,0,0
2023-03-21T00:00:00+0530,16.01,16.04,14.08,15.08,0,0
2023-03-22T00:00:00+0530,15.08,15.09,14.24,14.81,0,0
2023-03-23T00:00:00+0530,14.81,15.06,13.9,14.49,0,0
2023-03-24T00:00:00+0530,14.49,15.43,14.2,15.24,0,0
2023-03-27T00:00:00+0530,15.24,16.09,15.1,15.45,0,0
2023-03-28T00:00:00+0530,15.45,15.61,14.87,15.1,0,0
2023-03-29T00:00:00+0530,15.1,15.1,13.32,13.63,0,0
2023-03-31T00:00:00+0530,13.63,13.63,12.07,12.94,0,0
2023-04-03T00:00:00+0530,12.94,13.49,12.47,12.59,0,0
2023-04-05T00:00:00+0530,12.59,12.81,12.05,12.41,0,0
2023-04-06T00:00:00+0530,12.41,12.57,11.65,11.8,0,0
2023-04-10T00:00:00+0530,11.8,12.56,11.8,12.27,0,0
2023-04-11T00:00:00+0530,12.27,12.27,11.67,11.98,0,0
2023-04-12T00:00:00+0530,11.98,12.4,11.98,12.27,0,0
2023-04-13T00:00:00+0530,12.27,12.51,11.84,11.91,0,0
2023-04-17T00:00:00+0530,11.91,13.27,11.91,12.27,0,0
2023-04-18T00:00:00+0530,12.27,12.53,11.86,12.08,0,0
2023-04-19T00:00:00+0530,12.08,12.47,11.11,12.15,0,0
2023-04-20T00:00:00+0530,12.15,12.4,11.58,11.94,0,0
2023-04-21T00:00:00+0530,11.94,12.04,11.52,11.63,0,0
2023-04-24T00:00:00+0530,11.63,12.21,11.58,11.67,0,0
2023-04-25T00:00:00+0530,11.67,11.81,11.43,11.52,0,0
2023-04-26T00:00:00+0530,11.52,11.9,11.3,11.65,0,0
2023-04-27T00:00:00+0530,11.65,12.02,10.96,11.43,0,0
2023-04-28T00:00:00+0530,11.43,11.54,10.79,10.95,0,0
2023-05-02T00:00:00+0530,10.95,12.06,10.95,11.9,0,0
2023-05-03T00:00:00+0530,11.9,12.25,11.13,11.84,0,0
2023-05-04T00:00:00+0530,11.84,12.03,11.19,11.73,0,0
2023-05-05T00:00:00+0530,11.73,12.38,11.53,12.3,0,0
2023-05-08T00:00:00+0530,12.3,12.91,11.72,12.64,0,0
2023-05-09T00:00:00+0530,12.64,12.82,11.66,12.68,0,0
2023-05-10T00:00:00+0530,12.68,13.3,11.54,13.08,0,0
2023-05-11T00:00:00+0530,13.08,13.74,12.82,13.22,0,0
2023-05-12T00:00:00+0530,13.22,13.51,12.74,12.85,0,0
2023-05-15T00:00:00+0530,12.85,13.62,12.54,13.17,0,0
2023-05-16T00:00:00+0530,13.17,13.49,11.71,13.29,0,0
2023-05-17T00:00:00+0530,13.29,13.58,11.9,13.11,0,0
2023-05-18T00:00:00+0530,13.11,13.11,11.14,12.8,0,0
2023-05-19T00:00:00+0530,12.8,12.82,11.69,12.3,0,0
2023-05-22T00:00:00+0530,12.3,12.82,11.56,12.57,0,0
2023-05-23T00:00:00+0530,12.57,13.08,12.32,12.61,0,0
2023-05-24T00:00:00+0530,12.61,13.44,12.41,13.11,0,0
2023-05-25T00:00:00+0530,13.11,13.13,8.18,12.52,0,0
2023-05-26T00:00:00+0530,12.52,12.86,11.7,11.9,0,0
2023-05-29T00:00:00+0530,11.9,12.49,8.81,12.3,0,0
2023-05-30T00:00:00+0530,12.3,12.38,11.77,12.01,0,0
2023-05-31T00:00:00+0530,12.01,12.47,11.58,11.97,0,0
2023-06-01T00:00:00+0530,11.97,11.97,11.22,11.6,0,0
2023-06-02T00:00:00+0530,11.6,11.74,10.86,11.13,0,0
2023-06-05T00:00:00+0530,11.13,11.34,10.32,11.14,0,0
2023-06-06T00:00:00+0530,11.14,11.62,10.47,11.38,0,0
2023-06-07T00:00:00+0530,11.38,11.54,9.64,11.44,0,0
2023-06-08T00:00:00+0530,11.44,11.57,10.13,11.26,0,0
