date,open,high,low,close,volume,empty
2025-01-24T00:00:00+0530,156.5,158.8,148.7,148.7,1747000,0
2025-01-27T00:00:00+0530,141.3,141.3,141.3,141.3,16000,0
2025-01-28T00:00:00+0530,134.25,134.25,134.25,134.25,7000,0
2025-01-29T00:00:00+0530,127.55,139.5,127.55,133.45,1144000,0
2025-01-30T00:00:00+0530,132.95,132.95,126.8,126.8,238000,0
2025-01-31T00:00:00+0530,123.5,126.1,120.5,123.85,239000,0
2025-02-01T00:00:00+0530,124.9,130,124,130,146000,0
2025-02-03T00:00:00+0530,129.5,129.5,124.75,126.65,46000,0
2025-02-04T00:00:00+0530,128.95,132.95,128.95,132.95,92000,0
2025-02-05T00:00:00+0530,137.5,139.55,130.75,139.55,123000,0
2025-02-06T00:00:00+0530,144,147,132.05,134.35,239000,0
2025-02-07T00:00:00+0530,135,138.45,127.55,128.8,93000,0
2025-02-10T00:00:00+0530,126,127.5,117.5,121.25,188000,0
2025-02-11T00:00:00+0530,120,120,99,107.3,228000,0
2025-02-12T00:00:00+0530,109,124,104.75,120.4,112000,0
2025-02-13T00:00:00+0530,119.95,129.6,117.5,128.4,89000,0
2025-02-14T00:00:00+0530,133.4,136.4,120,125.3,157000,0
2025-02-17T00:00:00+0530,124,128.75,116.6,121.1,87000,0
2025-02-18T00:00:00+0530,121.2,122,115.1,117.15,68000,0
2025-02-19T00:00:00+0530,118,124,117,120.5,37000,0
2025-02-20T00:00:00+0530,121.9,123.4,118.05,122.1,22000,0
2025-02-21T00:00:00+0530,122,128,122,124.45,49000,0
2025-02-24T00:00:00+0530,118.15,128,112.25,119,195000,0
2025-02-25T00:00:00+0530,120,123.4,118,118.85,33000,0
2025-02-27T00:00:00+0530,122.65,122.7,118,118,16000,0
2025-02-28T00:00:00+0530,118,119.9,111.2,116.9,34000,0
2025-03-03T00:00:00+0530,112.15,117.9,109,117.8,38000,0
2025-03-04T00:00:00+0530,115,119,112,116,115000,0
2025-03-05T00:00:00+0530,116.5,120.75,116.5,119.85,36000,0
2025-03-06T00:00:00+0530,119.2,126,118.55,121.4,83000,0
2025-03-07T00:00:00+0530,121,126,120,124.75,62000,0
2025-03-10T00:00:00+0530,124.75,125,121.8,122.95,65000,0
2025-03-11T00:00:00+0530,119,122,116.45,120,35000,0
2025-03-12T00:00:00+0530,120.3,123.1,120.05,122.45,125000,0
2025-03-13T00:00:00+0530,127,127,120.6,120.75,16000,0
2025-03-17T00:00:00+0530,122,122,115,116.45,26000,0
2025-03-18T00:00:00+0530,118,122,116.25,120.15,40000,0
2025-03-19T00:00:00+0530,122.25,125,122.25,123.95,50000,0
2025-03-20T00:00:00+0530,125.55,125.55,118.25,119.95,29000,0
2025-03-21T00:00:00+0530,120,120.55,118,119.05,15000,0
2025-03-24T00:00:00+0530,121,123.9,121,123.15,32000,0
2025-03-25T00:00:00+0530,122.3,123.5,120.8,120.8,16000,0
2025-03-26T00:00:00+0530,121,121,117.5,118.35,27000,0
2025-03-27T00:00:00+0530,115,116.9,107,110.75,76000,0
2025-03-28T00:00:00+0530,114.45,117.4,109.05,110.4,45000,0
2025-04-01T00:00:00+0530,109.45,117,108.15,114.25,45000,0
2025-04-02T00:00:00+0530,116.85,118.1,112.1,115,47000,0
2025-04-03T00:00:00+0530,114.45,122,114.45,118.6,59000,0
2025-04-04T00:00:00+0530,118.65,118.65,114.95,115.35,17000,0
2025-04-07T00:00:00+0530,104,109.9,104,107.65,36000,0
2025-04-08T00:00:00+0530,110,112,107,107.25,52000,0
2025-04-09T00:00:00+0530,107.5,109,105.15,106.25,14000,0
2025-04-11T00:00:00+0530,108,109.4,105.05,105.95,50000,0
2025-04-15T00:00:00+0530,110,113.9,108.3,109.95,46000,0
2025-04-16T00:00:00+0530,110,112,108,108.3,45000,0
2025-04-17T00:00:00+0530,108,110.55,105.95,108.65,30000,0
2025-04-21T00:00:00+0530,110,111.45,106.5,110.6,53000,0
2025-04-22T00:00:00+0530,109,116,108,115.3,122000,0
2025-04-23T00:00:00+0530,116.9,119.25,110,110.95,247000,0
2025-04-24T00:00:00+0530,112.05,123,112,120.2,246000,0
2025-04-25T00:00:00+0530,120,125.4,118.1,124.5,160000,0
2025-04-28T00:00:00+0530,125,126.5,122.2,123.9,51000,0
2025-04-29T00:00:00+0530,121.05,133,121.05,124.75,227000,0
2025-04-30T00:00:00+0530,124.95,127,117.45,119.95,90000,0
2025-05-02T00:00:00+0530,120.05,124.95,119,123.25,66000,0
2025-05-05T00:00:00+0530,122.6,124,122.25,123.5,56000,0
2025-05-06T00:00:00+0530,121.75,121.75,114,115.55,63000,0
2025-05-07T00:00:00+0530,116.7,117,116,117,8000,0
2025-05-08T00:00:00+0530,115.5,117,115,115.55,39000,0
2025-05-09T00:00:00+0530,112,117.5,112,116.2,20000,0
2025-05-12T00:00:00+0530,118,123.95,117.55,122.15,129000,0
2025-05-13T00:00:00+0530,120.15,122.95,120.05,121.2,31000,0
2025-05-14T00:00:00+0530,120.9,122.85,119.55,121.2,31000,0
2025-05-15T00:00:00+0530,121,124.15,121,121.8,27000,0
2025-05-16T00:00:00+0530,121.1,121.15,118.5,118.95,9000,0
2025-05-19T00:00:00+0530,121,122,121,121,38000,0
2025-05-20T00:00:00+0530,119.6,120.45,117.95,120,18000,0
2025-05-21T00:00:00+0530,121,124.8,118,122.35,35000,0
2025-05-22T00:00:00+0530,99,114.95,99,114.15,529000,0
2025-05-23T00:00:00+0530,114.1,116.1,106.8,108.05,188000,0
2025-05-26T00:00:00+0530,107.25,109.4,107,107.65,27000,0
2025-05-27T00:00:00+0530,110.8,112,107.2,109,30000,0
2025-05-28T00:00:00+0530,109.25,112.8,108.5,108.75,38000,0
2025-05-29T00:00:00+0530,108.1,111.6,108.1,111,27000,0
2025-05-30T00:00:00+0530,111,111,110,110,4000,0
2025-06-02T00:00:00+0530,110,113,109,110,38000,0
2025-06-03T00:00:00+0530,109.55,111,107,107.75,63000,0
2025-06-04T00:00:00+0530,106.05,109,106,107,27000,0
2025-06-05T00:00:00+0530,108,108,101,103.35,58000,0
2025-06-06T00:00:00+0530,103.15,110,103.15,107.25,57000,0
2025-06-09T00:00:00+0530,109.95,111.95,107.25,107.65,40000,0
2025-06-10T00:00:00+0530,107,107,104.2,104.5,66000,0
2025-06-11T00:00:00+0530,107.55,108,105.35,105.75,29000,0
2025-06-12T00:00:00+0530,106.55,108.15,104.75,104.75,30000,0
2025-06-13T00:00:00+0530,103.5,106.5,103.5,106.5,16000,0
2025-06-16T00:00:00+0530,106.5,107.45,104.4,104.4,16000,0
2025-06-17T00:00:00+0530,106.45,107,105,105,18000,0
2025-06-18T00:00:00+0530,105.4,105.6,104.4,104.4,7000,0
2025-06-19T00:00:00+0530,103.05,105.9,103,104.7,24000,0
2025-06-20T00:00:00+0530,104,105,102.7,103.5,11000,0
2025-06-23T00:00:00+0530,101.5,104.45,101.4,102.35,32000,0
2025-06-24T00:00:00+0530,103,104,101.8,102.55,130000,0
2025-06-25T00:00:00+0530,102.5,103,99.7,100.25,81000,0
2025-06-26T00:00:00+0530,101.85,101.85,99.25,99.85,14000,0
2025-06-27T00:00:00+0530,101.4,103.95,98,99.7,35000,0
2025-06-30T00:00:00+0530,99.65,100.25,98.25,100,49000,0
2025-07-01T00:00:00+0530,98.25,102,98.25,100.2,27000,0
2025-07-02T00:00:00+0530,99.9,102.85,99.05,102.85,14000,0
2025-07-03T00:00:00+0530,102,102,99.55,99.55,2000,0
2025-07-04T00:00:00+0530,99,100,99,100,31000,0
2025-07-07T00:00:00+0530,98.3,100,97.25,99,52000,0
2025-07-08T00:00:00+0530,98.45,100,98.3,98.9,26000,0
2025-07-09T00:00:00+0530,99.1,100,98,98.2,36000,0
2025-07-10T00:00:00+0530,99,99.1,96.85,97.3,74000,0
2025-07-11T00:00:00+0530,99.2,99.8,98,98.5,56000,0
2025-07-14T00:00:00+0530,98.5,98.75,98.25,98.25,13000,0
2025-07-15T00:00:00+0530,99,99,97.05,97.75,20000,0
2025-07-16T00:00:00+0530,97.75,99.8,96.5,98.95,19000,0
2025-07-17T00:00:00+0530,98,107.5,97.8,102.5,59000,0
2025-07-18T00:00:00+0530,100.5,102,99.35,100.4,26000,0
2025-07-21T00:00:00+0530,101.1,102.6,99.5,102,29000,0
2025-07-22T00:00:00+0530,100.15,102,98.4,98.45,38000,0
2025-07-23T00:00:00+0530,99,101.8,97.2,98.05,35000,0
