date,open,high,low,close,volume,empty
2024-09-12T00:00:00+0530,130,130.05,123.5,123.5,1262400,0
2024-09-13T00:00:00+0530,117.35,117.35,117.35,117.35,16800,0
2024-09-16T00:00:00+0530,111.5,118,111.5,116.15,490800,0
2024-09-17T00:00:00+0530,113,115,110.35,110.35,127200,0
2024-09-18T00:00:00+0530,110.25,110.25,104.85,104.85,42000,0
2024-09-19T00:00:00+0530,102,110.05,100.25,110,206400,0
2024-09-20T00:00:00+0530,110.5,114.8,107,108,86400,0
2024-09-23T00:00:00+0530,110.8,111,102.6,106.3,60000,0
2024-09-24T00:00:00+0530,109.3,109.3,103.3,104.05,57600,0
2024-09-25T00:00:00+0530,107.9,109.25,102.2,109.25,55200,0
2024-09-26T00:00:00+0530,117,117,105,107.75,151200,0
2024-09-27T00:00:00+0530,111.45,111.45,107.45,109,33600,0
2024-09-30T00:00:00+0530,109,109.9,105.5,105.6,27600,0
2024-10-01T00:00:00+0530,105.6,108.5,105.6,108.5,9600,0
2024-10-03T00:00:00+0530,107.95,108.95,102,104,43200,0
2024-10-04T00:00:00+0530,104,109.8,104,107.45,18000,0
2024-10-07T00:00:00+0530,104,104,100.05,103.25,20400,0
2024-10-08T00:00:00+0530,101.5,105,101.5,101.7,18000,0
2024-10-09T00:00:00+0530,105,107.75,102,103.1,32400,0
2024-10-10T00:00:00+0530,103.1,103.1,95.8,96.25,86400,0
2024-10-11T00:00:00+0530,96.25,97.25,94,96.4,56400,0
2024-10-14T00:00:00+0530,96.4,96.4,94.5,94.55,14400,0
2024-10-15T00:00:00+0530,94.55,94.55,91.85,94,19200,0
2024-10-16T00:00:00+0530,92,93.45,91,92,22800,0
2024-10-17T00:00:00+0530,91.95,92,90.55,91.75,19200,0
2024-10-18T00:00:00+0530,90.05,91.75,90.05,91.45,16800,0
2024-10-21T00:00:00+0530,88.55,90,86.5,87.95,36000,0
2024-10-22T00:00:00+0530,83.05,85.05,81.3,83,27600,0
2024-10-23T00:00:00+0530,83,83,80.1,82.95,20400,0
2024-10-24T00:00:00+0530,85.85,87,84.1,85,21600,0
2024-10-25T00:00:00+0530,82,83,80,81.5,13200,0
2024-10-28T00:00:00+0530,75,80.5,75,78.25,37200,0
2024-10-29T00:00:00+0530,76.65,78.25,76.65,78.2,16800,0
2024-10-30T00:00:00+0530,78.2,78.2,77.8,77.8,13200,0
2024-10-31T00:00:00+0530,78.9,82,78.6,82,18000,0
2024-11-01T00:00:00+0530,77.3,80,77.3,79.1,3600,0
2024-11-04T00:00:00+0530,79.1,80,76.5,79,20400,0
2024-11-05T00:00:00+0530,79,80.25,76.6,80.05,16800,0
2024-11-06T00:00:00+0530,82,89,80.05,87.6,42000,0
2024-11-07T00:00:00+0530,89,91.25,89,90,32400,0
2024-11-08T00:00:00+0530,90,102,90,101.05,88800,0
2024-11-11T00:00:00+0530,108.7,108.7,102,102.5,61200,0
2024-11-12T00:00:00+0530,105,106.95,101,101,36000,0
2024-11-13T00:00:00+0530,101.5,104,101.5,102.5,43200,0
2024-11-14T00:00:00+0530,102.5,104.9,98,101.3,51600,0
2024-11-18T00:00:00+0530,90,103,90,102.9,91200,0
2024-11-19T00:00:00+0530,102.95,102.95,96.25,97.55,10800,0
2024-11-21T00:00:00+0530,104,104,93,96.4,19200,0
2024-11-22T00:00:00+0530,96.45,99.85,93.25,98.9,13200,0
2024-11-25T00:00:00+0530,100,100,94.75,94.9,26400,0
2024-11-26T00:00:00+0530,94.9,96,94.75,96,3600,0
2024-11-27T00:00:00+0530,93.15,94.25,89.5,92.2,31200,0
2024-11-28T00:00:00+0530,92.45,92.45,85.15,88.15,10800,0
2024-11-29T00:00:00+0530,90,90,87.65,89.2,13200,0
2024-12-02T00:00:00+0530,85.2,86.75,85.2,86,28800,0
2024-12-03T00:00:00+0530,87,91,87,89,10800,0
2024-12-04T00:00:00+0530,97,97,90.05,90.35,12000,0
2024-12-05T00:00:00+0530,90.35,91,87.1,88.4,22800,0
2024-12-06T00:00:00+0530,88.6,90,87.7,88.75,10800,0
2024-12-09T00:00:00+0530,88.75,88.75,86,88.65,40800,0
2024-12-10T00:00:00+0530,87,87,85.4,85.6,24000,0
2024-12-11T00:00:00+0530,85,86,83.75,86,21600,0
2024-12-12T00:00:00+0530,86,87.35,84.75,86.6,16800,0
2024-12-13T00:00:00+0530,85.9,86.6,83.5,86.55,31200,0
2024-12-16T00:00:00+0530,86,103.5,85,90.25,63600,0
2024-12-17T00:00:00+0530,90.25,90.25,88.55,90.25,18000,0
2024-12-18T00:00:00+0530,92.25,92.25,89.1,90.2,14400,0
2024-12-19T00:00:00+0530,89.1,90,85.1,88.75,22800,0
2024-12-20T00:00:00+0530,89.5,90.75,86.7,86.95,54000,0
2024-12-23T00:00:00+0530,87,87.5,84.6,84.95,15600,0
2024-12-24T00:00:00+0530,84.95,84.95,84,84.55,21600,0
2024-12-26T00:00:00+0530,87.75,89,82.05,82.85,38400,0
2024-12-27T00:00:00+0530,84.4,84.4,79.6,81.7,36000,0
2024-12-30T00:00:00+0530,83.3,84.9,82.1,83,9600,0
2024-12-31T00:00:00+0530,81.5,81.5,79.2,80,22800,0
2025-01-01T00:00:00+0530,81.5,82.25,81,81.85,20400,0
2025-01-02T00:00:00+0530,84.65,84.65,80.5,80.75,18000,0
2025-01-03T00:00:00+0530,84.4,84.4,78.3,79.1,32400,0
2025-01-06T00:00:00+0530,79.4,80.95,76,76.55,37200,0
2025-01-07T00:00:00+0530,76.55,80,76.55,79.05,34800,0
2025-01-08T00:00:00+0530,81.8,82.8,79,80.5,31200,0
2025-01-09T00:00:00+0530,80.5,81.45,80,80.5,9600,0
2025-01-10T00:00:00+0530,79,79.75,77.65,78.75,13200,0
2025-01-13T00:00:00+0530,78,78.6,74.1,74.8,37200,0
2025-01-14T00:00:00+0530,74.8,76.8,74.8,76.8,3600,0
2025-01-15T00:00:00+0530,76.8,76.8,74.55,75.9,27600,0
2025-01-16T00:00:00+0530,76.4,78,76.4,78,8400,0
2025-01-17T00:00:00+0530,78,78.95,74,75.55,32400,0
2025-01-20T00:00:00+0530,75.6,77.3,73.05,73.05,26400,0
2025-01-21T00:00:00+0530,74.85,74.9,72.4,73.95,12000,0
2025-01-22T00:00:00+0530,72.75,73.95,71,73.95,10800,0
2025-01-23T00:00:00+0530,74.65,76,73.65,75.45,44400,0
2025-01-24T00:00:00+0530,75.05,75.05,74.15,74.15,7200,0
2025-01-27T00:00:00+0530,71.05,71.05,63.5,67,33600,0
2025-01-28T00:00:00+0530,65.5,65.5,57.2,64.25,43200,0
2025-01-29T00:00:00+0530,67,72.25,66.95,69.95,18000,0
2025-01-30T00:00:00+0530,70.4,70.4,69,69,21600,0
2025-01-31T00:00:00+0530,72.35,72.35,67.05,69.8,22800,0
2025-02-01T00:00:00+0530,69.9,69.9,67.1,67.1,6000,0
2025-02-03T00:00:00+0530,67.1,68,66,66,15600,0
2025-02-04T00:00:00+0530,67.95,69,67.95,69,4800,0
2025-02-05T00:00:00+0530,70.45,70.75,70.45,70.75,3600,0
2025-02-06T00:00:00+0530,72,74.25,70.75,70.75,16800,0
2025-02-11T00:00:00+0530,67.25,67.25,67.25,67.25,3600,0
2025-02-12T00:00:00+0530,64,64.1,63.9,64.1,13200,0
2025-02-13T00:00:00+0530,62,65.8,61.25,63.5,15600,0
2025-02-14T00:00:00+0530,62.15,62.15,60.35,60.35,13200,0
2025-02-17T00:00:00+0530,62.5,63,58,58.55,16800,0
2025-02-18T00:00:00+0530,61.4,61.45,59,59,15600,0
2025-02-19T00:00:00+0530,61.9,61.9,58.6,58.6,12000,0
2025-02-20T00:00:00+0530,60.1,61.5,60.1,61.5,8400,0
2025-02-21T00:00:00+0530,63.5,64.5,62,62,16800,0
2025-02-24T00:00:00+0530,64.5,65.1,64.5,65,19200,0
2025-02-25T00:00:00+0530,67.4,68.25,67.4,68.25,15600,0
2025-02-27T00:00:00+0530,69.9,69.9,64.85,64.85,18000,0
2025-02-28T00:00:00+0530,63.55,63.55,63.55,63.55,1200,0
2025-03-03T00:00:00+0530,63.4,63.4,62.3,62.3,3600,0
2025-03-04T00:00:00+0530,62.5,62.5,61.05,61.05,3600,0
2025-03-05T00:00:00+0530,60,60.6,59.9,60.5,4800,0
2025-03-06T00:00:00+0530,60,61.7,59.4,61.7,4800,0
2025-03-07T00:00:00+0530,62.9,62.9,62.9,62.9,1200,0
2025-03-10T00:00:00+0530,61.65,62,61.65,62,4800,0
2025-03-11T00:00:00+0530,60.8,60.8,60.8,60.8,6000,0
2025-03-12T00:00:00+0530,59.8,59.9,59.7,59.9,7200,0
2025-03-13T00:00:00+0530,61.05,61.05,59.2,59.2,55200,0
2025-03-17T00:00:00+0530,58.4,58.4,58.05,58.05,16800,0
2025-03-18T00:00:00+0530,58.05,58.05,56.9,56.9,31200,0
2025-03-19T00:00:00+0530,56,56.9,55.8,56.9,26400,0
2025-03-20T00:00:00+0530,56.15,56.15,56,56.1,114000,0
2025-03-21T00:00:00+0530,56.8,56.9,55,55,75600,0
2025-03-24T00:00:00+0530,55,55,53.9,53.9,44400,0
2025-03-25T00:00:00+0530,52.95,54.75,52.95,54.7,115200,0
2025-03-26T00:00:00+0530,54.7,54.7,53.6,53.6,36000,0
2025-03-27T00:00:00+0530,53.6,53.6,52.55,52.65,24000,0
2025-03-28T00:00:00+0530,52.5,52.5,51.6,51.6,13200,0
2025-04-01T00:00:00+0530,52.6,52.6,52.6,52.6,1200,0
2025-04-02T00:00:00+0530,53.65,53.65,53.65,53.65,6000,0
2025-04-03T00:00:00+0530,54.7,54.7,54.7,54.7,4800,0
2025-04-04T00:00:00+0530,55.7,55.75,55.7,55.75,3600,0
2025-04-07T00:00:00+0530,58.5,58.5,53,58.5,27600,0
2025-04-08T00:00:00+0530,61,61.4,56.1,61.4,22800,0
2025-04-09T00:00:00+0530,62.1,64.45,62,64.45,14400,0
2025-04-15T00:00:00+0530,66.5,66.5,61.25,64,27600,0
2025-04-16T00:00:00+0530,66,67.2,66,67.2,12000,0
2025-04-17T00:00:00+0530,67.2,67.2,67.2,67.2,2400,0
2025-04-21T00:00:00+0530,70,70.55,70,70.5,8400,0
2025-04-22T00:00:00+0530,70.5,73.3,70.5,73.3,7200,0
2025-04-23T00:00:00+0530,70.15,70.15,69.65,69.65,8400,0
2025-04-24T00:00:00+0530,68,71,67.05,71,9600,0
2025-04-25T00:00:00+0530,67.45,67.55,67.45,67.55,6000,0
2025-04-28T00:00:00+0530,68,68,67.5,68,10800,0
2025-04-30T00:00:00+0530,70,70,68,68,4800,0
2025-05-02T00:00:00+0530,68,68.1,68,68.1,6000,0
2025-05-05T00:00:00+0530,68.5,71,68.5,70,3600,0
2025-05-06T00:00:00+0530,73,75,73,75,6000,0
2025-05-07T00:00:00+0530,74.95,77.5,74.9,75.05,8400,0
2025-05-08T00:00:00+0530,75.1,75.1,74,74,7200,0
2025-05-09T00:00:00+0530,70,70,70,70,1200,0
2025-05-12T00:00:00+0530,70,70,69,69,3600,0
2025-05-13T00:00:00+0530,71,71,71,71,1200,0
2025-05-14T00:00:00+0530,71,74.95,71,74,3600,0
2025-05-16T00:00:00+0530,75.3,81.5,75.3,80.5,28800,0
2025-05-19T00:00:00+0530,83.3,94.95,83,93.3,82800,0
2025-05-20T00:00:00+0530,94.95,94.95,88.3,88.3,9600,0
2025-05-21T00:00:00+0530,88,89.8,87.6,87.6,9600,0
2025-05-22T00:00:00+0530,88.75,88.75,87.6,88.5,4800,0
2025-05-26T00:00:00+0530,89,89,83.5,85.25,67200,0
2025-05-27T00:00:00+0530,86,87.05,84.05,86.75,12000,0
2025-05-28T00:00:00+0530,86.75,95,85.1,92.2,33600,0
2025-05-29T00:00:00+0530,90,104,87.55,92.95,69600,0
2025-05-30T00:00:00+0530,93,93.7,86,86.3,50400,0
2025-06-02T00:00:00+0530,86,86,73.1,74.75,192000,0
2025-06-03T00:00:00+0530,75,75.95,75,75,21600,0
2025-06-04T00:00:00+0530,76.45,81.5,76.45,80.7,13200,0
2025-06-05T00:00:00+0530,82.5,82.5,80.7,82.5,7200,0
2025-06-06T00:00:00+0530,79,83.95,78.15,80.55,7200,0
2025-06-09T00:00:00+0530,84.5,87.9,84.5,86.95,19200,0
2025-06-10T00:00:00+0530,89,89,85.05,85.4,8400,0
2025-06-11T00:00:00+0530,86,86,86,86,1200,0
2025-06-12T00:00:00+0530,87.5,90,87.35,88.95,67200,0
2025-06-13T00:00:00+0530,86.9,86.9,82.05,82.05,8400,0
2025-06-16T00:00:00+0530,84,84,82.15,82.15,3600,0
2025-06-17T00:00:00+0530,78.7,80,77,78.6,27600,0
2025-06-18T00:00:00+0530,82,85.7,81,81,7200,0
2025-06-19T00:00:00+0530,80.25,80.45,80,80,7200,0
2025-06-20T00:00:00+0530,78.05,80,78.05,80,3600,0
2025-06-24T00:00:00+0530,76.4,76.4,74.1,74.8,40800,0
2025-06-25T00:00:00+0530,75.3,75.3,72.1,73.2,14400,0
2025-06-26T00:00:00+0530,74.95,76.95,74.95,76.95,9600,0
2025-06-27T00:00:00+0530,76,79.8,76,79.8,3600,0
2025-07-01T00:00:00+0530,82.5,82.6,78.5,79.45,7200,0
2025-07-02T00:00:00+0530,81.45,81.45,76.5,78.25,8400,0
2025-07-03T00:00:00+0530,78.2,78.25,75.65,75.65,12000,0
2025-07-04T00:00:00+0530,75.65,78.9,75,77.6,6000,0
